status,card_present_flag,txn_description,balance,gender,age,merchant_state,extraction,amount,movement
authorized,1,POS,1689.89,F,21,NSW,2018-08-01T09:39:21.000+0000,28.49,debit
authorized,1,POS,1675.46,F,21,WA,2018-08-01T09:43:24.000+0000,14.43,debit
authorized,1,SALES-POS,11438.51,M,24,QLD,2018-08-01T09:47:26.000+0000,87.03,debit
authorized,1,POS,38.42,F,18,QLD,2018-08-01T09:51:29.000+0000,36.28,debit
authorized,0,POS,1089.59,F,20,WA,2018-08-01T09:55:32.000+0000,15.91,debit
authorized,1,POS,49756.21,M,78,VIC,2018-08-01T09:59:35.000+0000,25.7,debit
posted,,PAYMENT,2040.1,F,40,,2018-08-01T10:00:00.000+0000,32,debit
posted,,INTER BANK,137.14,F,20,,2018-08-01T10:00:00.000+0000,39,debit
posted,,PAYMENT,292.77,M,22,,2018-08-01T10:00:00.000+0000,34,debit
posted,,PAYMENT,28.04,M,27,,2018-08-01T10:00:00.000+0000,29,debit
posted,,PAYMENT,754.2,M,42,,2018-08-01T10:00:00.000+0000,150,debit
posted,,PAYMENT,763.64,M,21,,2018-08-01T10:00:00.000+0000,30,debit
authorized,1,SALES-POS,301.65,M,38,NSW,2018-08-01T10:12:51.000+0000,20.43,debit
authorized,0,SALES-POS,1290.08,M,22,NSW,2018-08-01T10:27:08.000+0000,31.62,debit
authorized,1,SALES-POS,18784.07,F,38,VIC,2018-08-01T10:41:25.000+0000,16.13,debit
authorized,1,POS,29645.42,F,43,VIC,2018-08-01T10:55:42.000+0000,937.73,debit
posted,,PAY/SALARY,8342.11,M,23,,2018-08-01T11:00:00.000+0000,3903.95,credit
posted,,PAYMENT,1195.08,M,22,,2018-08-01T11:00:00.000+0000,95,debit
authorized,1,POS,454.94,M,40,WA,2018-08-01T11:04:45.000+0000,11.64,debit
authorized,1,POS,27.86,F,43,VIC,2018-08-01T11:11:33.000+0000,28,debit
authorized,1,POS,689.22,M,42,NSW,2018-08-01T11:18:22.000+0000,64.98,debit
authorized,1,SALES-POS,440.66,M,40,NSW,2018-08-01T11:25:10.000+0000,14.28,debit
authorized,1,SALES-POS,29143.75,F,43,QLD,2018-08-01T11:31:58.000+0000,501.67,debit
authorized,1,POS,58154.74,M,33,VIC,2018-08-01T11:38:46.000+0000,17.97,debit
authorized,0,POS,589.1,F,24,NSW,2018-08-01T11:45:34.000+0000,109.51,debit
authorized,0,POS,2058.92,M,25,VIC,2018-08-01T11:52:22.000+0000,27.39,debit
authorized,1,POS,1109.58,M,24,VIC,2018-08-01T11:59:11.000+0000,27.39,debit
posted,,PAY/SALARY,2040.58,F,23,,2018-08-01T12:00:00.000+0000,1626.48,credit
posted,,PAYMENT,3071.94,F,26,,2018-08-01T12:00:00.000+0000,46,debit
posted,,INTER BANK,150.08,F,27,,2018-08-01T12:00:00.000+0000,57,debit
posted,,PAY/SALARY,3158.51,M,22,,2018-08-01T12:00:00.000+0000,983.36,credit
posted,,PAYMENT,186371.86,F,40,,2018-08-01T12:00:00.000+0000,170,debit
authorized,1,POS,4172.16,M,19,SA,2018-08-01T12:15:26.000+0000,3.28,debit
authorized,1,POS,30163.44,M,28,NSW,2018-08-01T12:50:31.000+0000,33.45,debit
posted,,PAY/SALARY,2517.66,M,24,,2018-08-01T13:00:00.000+0000,1408.08,credit
posted,,INTER BANK,2032.92,M,25,,2018-08-01T13:00:00.000+0000,26,debit
posted,,PAY/SALARY,2271.79,F,43,,2018-08-01T13:00:00.000+0000,1068.04,credit
authorized,0,POS,29128.11,F,43,VIC,2018-08-01T13:45:33.000+0000,15.64,debit
posted,,PAY/SALARY,1017.52,F,26,,2018-08-01T14:00:00.000+0000,1013.67,credit
authorized,1,POS,119.88,F,20,NSW,2018-08-01T14:01:55.000+0000,17.26,debit
authorized,0,SALES-POS,538.85,F,24,VIC,2018-08-01T14:10:42.000+0000,50.25,debit
authorized,1,POS,486.68,F,34,NT,2018-08-01T14:19:28.000+0000,22.25,debit
authorized,1,SALES-POS,2029.05,F,40,NSW,2018-08-01T14:28:14.000+0000,11.05,debit
authorized,1,POS,1609.16,F,19,NSW,2018-08-01T14:37:01.000+0000,16.18,debit
authorized,0,SALES-POS,429.2,M,40,NSW,2018-08-01T14:45:47.000+0000,11.46,debit
posted,,PAYMENT,86.91,F,18,,2018-08-01T15:00:00.000+0000,36,debit
posted,,PAYMENT,28453.87,M,38,,2018-08-01T15:00:00.000+0000,35,debit
authorized,0,POS,86.3,F,30,VIC,2018-08-01T15:02:21.000+0000,5.29,debit
authorized,1,SALES-POS,1602.58,F,19,NSW,2018-08-01T15:08:34.000+0000,6.58,debit
authorized,1,SALES-POS,713.56,M,26,WA,2018-08-01T15:27:12.000+0000,16.03,debit
authorized,1,POS,143.4,F,21,NT,2018-08-01T15:33:24.000+0000,32.41,debit
authorized,1,SALES-POS,750.75,M,21,VIC,2018-08-01T15:39:37.000+0000,12.89,debit
authorized,1,POS,697.46,M,26,NSW,2018-08-01T15:45:50.000+0000,16.1,debit
authorized,1,SALES-POS,39595.08,M,22,VIC,2018-08-01T15:52:02.000+0000,39.92,debit
authorized,1,POS,1082.64,M,44,VIC,2018-08-01T15:58:15.000+0000,8.1,debit
posted,,PAYMENT,2335.35,M,21,,2018-08-01T16:00:00.000+0000,55,debit
posted,,PAY/SALARY,16433.32,F,34,,2018-08-01T16:00:00.000+0000,3903.73,credit
posted,,PAYMENT,8.06,F,20,,2018-08-01T16:00:00.000+0000,35,debit
posted,,PAY/SALARY,1796.37,M,26,,2018-08-01T16:00:00.000+0000,1098.91,credit
posted,,PAY/SALARY,50383.16,M,38,,2018-08-01T16:00:00.000+0000,2647.38,credit
authorized,1,POS,1691.91,M,20,NSW,2018-08-01T16:12:00.000+0000,13.52,debit
authorized,0,POS,43.06,F,20,NSW,2018-08-01T16:28:40.000+0000,76.82,debit
authorized,0,POS,186344.95,F,40,VIC,2018-08-01T16:45:20.000+0000,26.91,debit
posted,,PAY/SALARY,1244.45,F,30,,2018-08-01T17:00:00.000+0000,1158.15,credit
posted,,PAY/SALARY,1969.05,M,69,,2018-08-01T17:00:00.000+0000,1043.12,credit
posted,,PAYMENT,1162.08,M,22,,2018-08-01T17:00:00.000+0000,33,debit
posted,,PAY/SALARY,1403.55,F,20,,2018-08-01T17:00:00.000+0000,1395.49,credit
posted,,PAY/SALARY,7094.77,M,39,,2018-08-01T17:00:00.000+0000,3071.14,credit
posted,,PAYMENT,3021.94,F,26,,2018-08-01T17:00:00.000+0000,50,debit
posted,,PAYMENT,300.09,F,34,,2018-08-01T17:00:00.000+0000,168,debit
authorized,0,POS,6941.78,M,28,NSW,2018-08-01T17:01:07.000+0000,22.59,debit
authorized,1,SALES-POS,1067.36,M,44,VIC,2018-08-01T17:10:33.000+0000,15.28,debit
authorized,1,SALES-POS,189.55,F,18,SA,2018-08-01T17:20:00.000+0000,5.62,debit
authorized,1,SALES-POS,492.41,M,31,NSW,2018-08-01T17:38:52.000+0000,93.79,debit
authorized,1,SALES-POS,2025.72,F,23,VIC,2018-08-01T17:48:18.000+0000,14.86,debit
authorized,1,SALES-POS,468.09,F,34,NT,2018-08-01T17:57:44.000+0000,18.59,debit
posted,,PAYMENT,860.46,F,24,,2018-08-01T18:00:00.000+0000,46,debit
authorized,1,POS,1006.85,F,26,QLD,2018-08-01T18:19:29.000+0000,10.67,debit
authorized,0,SALES-POS,6022.68,M,35,SA,2018-08-01T18:45:07.000+0000,19.58,debit
posted,,PAYMENT,7046.77,M,39,,2018-08-01T19:00:00.000+0000,48,debit
authorized,1,SALES-POS,27984.9,M,21,NSW,2018-08-01T19:04:09.000+0000,26.75,debit
authorized,1,POS,823.53,M,28,VIC,2018-08-01T19:14:03.000+0000,9.21,debit
authorized,1,POS,16421.78,F,34,NSW,2018-08-01T19:23:57.000+0000,11.54,debit
authorized,0,SALES-POS,995.57,F,26,QLD,2018-08-01T19:33:51.000+0000,11.28,debit
authorized,1,SALES-POS,27953.53,M,21,QLD,2018-08-01T19:43:45.000+0000,31.37,debit
authorized,1,POS,445.04,M,37,QLD,2018-08-01T19:53:39.000+0000,23.86,debit
posted,,PAYMENT,4331.5,M,19,,2018-08-01T20:00:00.000+0000,17,debit
posted,,PAYMENT,1992.72,F,23,,2018-08-01T20:00:00.000+0000,33,debit
posted,,INTER BANK,117.08,F,27,,2018-08-01T20:00:00.000+0000,33,debit
posted,,PHONE BANK,35322.36,M,42,,2018-08-01T20:00:00.000+0000,36,debit
authorized,1,SALES-POS,1963.94,F,40,QLD,2018-08-01T20:09:28.000+0000,65.11,debit
authorized,0,SALES-POS,6924.65,M,28,TAS,2018-08-01T20:35:47.000+0000,17.13,debit
posted,,INTER BANK,1679.94,F,41,,2018-08-01T21:00:00.000+0000,43,debit
authorized,1,SALES-POS,34.97,F,27,VIC,2018-08-01T21:01:28.000+0000,7.29,debit
authorized,1,POS,614.93,M,20,VIC,2018-08-01T21:19:59.000+0000,27.82,debit
authorized,0,POS,986.58,F,26,QLD,2018-08-01T21:38:31.000+0000,8.99,debit
authorized,0,POS,279.86,M,38,NSW,2018-08-01T21:57:02.000+0000,21.79,debit
posted,,PAYMENT,1569.58,F,19,,2018-08-01T22:00:00.000+0000,33,debit
authorized,1,POS,976.26,F,26,QLD,2018-08-01T22:25:27.000+0000,10.32,debit
authorized,1,POS,94.45,M,23,NSW,2018-08-01T22:55:45.000+0000,19.04,debit
posted,,PAYMENT,1884.41,M,44,,2018-08-01T23:00:00.000+0000,157,debit
posted,,PAYMENT,1767.37,M,26,,2018-08-01T23:00:00.000+0000,29,debit
posted,,PAYMENT,7014.77,M,39,,2018-08-01T23:00:00.000+0000,32,debit
authorized,1,SALES-POS,27923.06,M,21,VIC,2018-08-02T00:05:27.000+0000,30.47,debit
authorized,0,SALES-POS,1074.43,F,20,WA,2018-08-02T00:50:54.000+0000,15.16,debit
authorized,1,POS,163.59,M,43,VIC,2018-08-02T01:15:05.000+0000,10.07,debit
authorized,1,SALES-POS,8306.12,M,23,NSW,2018-08-02T01:52:49.000+0000,35.99,debit
posted,,INTER BANK,147.59,M,43,,2018-08-02T02:00:00.000+0000,16,debit
authorized,1,SALES-POS,128.21,M,18,QLD,2018-08-02T02:16:45.000+0000,32.06,debit
authorized,1,SALES-POS,58111.04,M,33,VIC,2018-08-02T02:43:47.000+0000,43.7,debit
posted,,PAYMENT,54980.99,M,40,,2018-08-02T03:00:00.000+0000,47,debit
posted,,PAYMENT,223.93,M,37,,2018-08-02T03:00:00.000+0000,52,debit
authorized,1,SALES-POS,128.76,F,30,VIC,2018-08-02T03:57:08.000+0000,36.07,debit
posted,,PAYMENT,6630.82,M,20,,2018-08-02T04:00:00.000+0000,39,debit
posted,,PAYMENT,1657.94,F,41,,2018-08-02T04:00:00.000+0000,22,debit
authorized,1,SALES-POS,1066.35,F,20,WA,2018-08-02T04:26:29.000+0000,8.08,debit
authorized,1,SALES-POS,15.93,F,18,VIC,2018-08-02T04:53:30.000+0000,22.49,debit
posted,,PAYMENT,4298.5,M,19,,2018-08-02T05:00:00.000+0000,33,debit
posted,,PAYMENT,205.93,M,37,,2018-08-02T05:00:00.000+0000,18,debit
posted,,PAYMENT,213.37,F,25,,2018-08-02T06:00:00.000+0000,46,debit
posted,,PAYMENT,3117.58,F,30,,2018-08-02T06:00:00.000+0000,47,debit
authorized,1,POS,35305.32,M,42,VIC,2018-08-02T06:28:34.000+0000,17.04,debit
posted,,PAYMENT,1580.32,F,35,,2018-08-02T07:00:00.000+0000,33,debit
posted,,INTER BANK,1146.46,F,19,,2018-08-02T07:00:00.000+0000,22,debit
posted,,INTER BANK,2074.79,F,43,,2018-08-02T07:00:00.000+0000,197,debit
authorized,0,POS,50671.14,M,19,WA,2018-08-02T07:20:44.000+0000,1692.56,debit
authorized,1,POS,1917.11,F,40,QLD,2018-08-02T07:57:46.000+0000,46.83,debit
posted,,PAYMENT,2031.79,F,43,,2018-08-02T08:00:00.000+0000,43,debit
posted,,PAYMENT,38.55,F,18,,2018-08-02T08:00:00.000+0000,151,debit
authorized,1,POS,463.96,F,53,QLD,2018-08-02T08:08:02.000+0000,6.48,debit
authorized,1,POS,186236.3,F,40,NSW,2018-08-02T08:16:34.000+0000,108.65,debit
authorized,0,POS,17.44,F,47,WA,2018-08-02T08:25:07.000+0000,20.87,debit
authorized,1,SALES-POS,2293.86,M,21,SA,2018-08-02T08:33:40.000+0000,41.49,debit
authorized,1,SALES-POS,968.15,F,26,QLD,2018-08-02T08:42:13.000+0000,8.11,debit
authorized,1,POS,847.49,F,24,WA,2018-08-02T08:50:46.000+0000,12.97,debit
authorized,1,SALES-POS,4428.26,F,39,VIC,2018-08-02T08:59:18.000+0000,46.12,debit
posted,,PAYMENT,16394.78,F,34,,2018-08-02T09:00:00.000+0000,27,debit
posted,,INTER BANK,104.4,F,21,,2018-08-02T09:00:00.000+0000,39,debit
authorized,0,POS,842.07,F,19,VIC,2018-08-02T09:03:53.000+0000,25.7,debit
authorized,1,SALES-POS,2986.34,F,26,SA,2018-08-02T09:08:08.000+0000,35.6,debit
authorized,1,POS,1872.72,F,40,WA,2018-08-02T09:12:22.000+0000,44.39,debit
authorized,1,POS,1845.04,F,40,QLD,2018-08-02T09:16:36.000+0000,27.68,debit
authorized,1,POS,1826.34,F,40,NSW,2018-08-02T09:25:05.000+0000,18.7,debit
authorized,1,SALES-POS,1816.34,F,40,QLD,2018-08-02T09:29:19.000+0000,10,debit
authorized,1,SALES-POS,50657.65,M,19,WA,2018-08-02T09:33:33.000+0000,13.49,debit
authorized,0,SALES-POS,344.8,F,21,VIC,2018-08-02T09:37:47.000+0000,20.26,debit
authorized,1,POS,956.92,F,26,QLD,2018-08-02T09:46:16.000+0000,11.23,debit
authorized,1,POS,1035.55,M,44,VIC,2018-08-02T09:50:30.000+0000,31.81,debit
authorized,1,SALES-POS,949.22,F,26,QLD,2018-08-02T09:54:44.000+0000,7.7,debit
authorized,1,SALES-POS,2285.02,M,21,WA,2018-08-02T09:58:58.000+0000,8.84,debit
authorized,1,POS,49743.84,M,78,VIC,2018-08-02T10:12:40.000+0000,12.37,debit
authorized,1,SALES-POS,159.66,F,64,VIC,2018-08-02T10:29:20.000+0000,31.5,debit
authorized,1,SALES-POS,521.73,F,24,VIC,2018-08-02T10:46:00.000+0000,17.12,debit
posted,,PAYMENT,2476.66,M,24,,2018-08-02T11:00:00.000+0000,41,debit
posted,,PAY/SALARY,3907.05,F,26,,2018-08-02T11:00:00.000+0000,920.71,credit
posted,,INTER BANK,1667.91,M,20,,2018-08-02T11:00:00.000+0000,24,debit
authorized,1,POS,16373.36,F,34,SA,2018-08-02T11:00:54.000+0000,21.42,debit
authorized,1,POS,941.23,F,26,QLD,2018-08-02T11:06:35.000+0000,7.99,debit
authorized,1,SALES-POS,931.76,F,26,NSW,2018-08-02T11:12:16.000+0000,9.47,debit
authorized,1,POS,107.79,M,18,QLD,2018-08-02T11:29:19.000+0000,20.42,debit
authorized,1,POS,96.25,F,21,NT,2018-08-02T11:35:00.000+0000,8.15,debit
authorized,1,POS,1742.72,M,26,WA,2018-08-02T11:40:40.000+0000,24.65,debit
authorized,0,POS,3047.08,F,30,NSW,2018-08-02T11:46:21.000+0000,70.5,debit
authorized,1,SALES-POS,4.41,F,43,NSW,2018-08-02T11:52:02.000+0000,23.45,debit
authorized,1,POS,35254.08,M,42,VIC,2018-08-02T11:57:43.000+0000,51.24,debit
posted,,PAY/SALARY,50526.26,M,78,,2018-08-02T12:00:00.000+0000,782.42,credit
posted,,PHONE BANK,186195.3,F,40,,2018-08-02T12:00:00.000+0000,41,debit
posted,,PAYMENT,715.75,M,21,,2018-08-02T12:00:00.000+0000,35,debit
authorized,1,POS,3008.22,F,30,SA,2018-08-02T12:10:00.000+0000,38.86,debit
authorized,1,SALES-POS,1903.7,F,35,NSW,2018-08-02T12:26:40.000+0000,32.97,debit
authorized,0,POS,27898.89,M,21,VIC,2018-08-02T12:43:20.000+0000,24.17,debit
posted,,INTER BANK,8189.12,M,23,,2018-08-02T13:00:00.000+0000,117,debit
posted,,PAY/SALARY,2511.5,M,22,,2018-08-02T13:00:00.000+0000,2218.73,credit
posted,,PAYMENT,2666.12,M,20,,2018-08-02T13:00:00.000+0000,15,debit
authorized,1,SALES-POS,4158.41,M,19,WA,2018-08-02T13:00:00.000+0000,13.75,debit
authorized,1,SALES-POS,86.96,M,23,NSW,2018-08-02T13:18:10.000+0000,7.49,debit
authorized,1,SALES-POS,92.48,M,18,QLD,2018-08-02T13:36:21.000+0000,15.31,debit
authorized,0,POS,3130,M,22,NSW,2018-08-02T13:54:32.000+0000,28.51,debit
posted,,PAYMENT,6954.77,M,39,,2018-08-02T14:00:00.000+0000,60,debit
posted,,PAY/SALARY,1811.47,M,30,,2018-08-02T14:00:00.000+0000,1808.62,credit
authorized,1,POS,1712.39,M,26,WA,2018-08-02T14:10:03.000+0000,30.33,debit
authorized,1,SALES-POS,14.26,M,31,NSW,2018-08-02T14:15:58.000+0000,20.07,debit
authorized,0,POS,1948.27,M,69,VIC,2018-08-02T14:21:53.000+0000,20.78,debit
authorized,1,POS,30130.77,M,28,NSW,2018-08-02T14:27:48.000+0000,32.67,debit
authorized,1,POS,66.15,F,27,QLD,2018-08-02T14:33:43.000+0000,50.93,debit
authorized,1,SALES-POS,823.87,F,19,VIC,2018-08-02T14:45:33.000+0000,18.2,debit
authorized,1,POS,35238.13,M,42,VIC,2018-08-02T14:51:28.000+0000,15.95,debit
authorized,1,SALES-POS,1791,F,40,QLD,2018-08-02T14:57:23.000+0000,25.34,debit
posted,,PAY/SALARY,2480.74,M,44,,2018-08-02T15:00:00.000+0000,596.33,credit
posted,,PAYMENT,1758,F,40,,2018-08-02T15:00:00.000+0000,33,debit
posted,,PAY/SALARY,6722.85,M,26,,2018-08-02T15:00:00.000+0000,1433.98,credit
authorized,1,SALES-POS,332.57,F,21,VIC,2018-08-02T15:03:41.000+0000,12.23,debit
authorized,1,POS,1550.27,F,41,VIC,2018-08-02T15:10:15.000+0000,107.67,debit
authorized,1,SALES-POS,24268.73,F,50,VIC,2018-08-02T15:16:50.000+0000,10.13,debit
authorized,0,SALES-POS,1789.31,M,30,QLD,2018-08-02T15:23:25.000+0000,22.16,debit
authorized,1,SALES-POS,1014.72,M,25,WA,2018-08-02T15:29:59.000+0000,41.66,debit
authorized,1,SALES-POS,1236.27,F,30,NSW,2018-08-02T15:36:34.000+0000,8.18,debit
authorized,1,SALES-POS,50637.85,M,19,WA,2018-08-02T15:43:09.000+0000,19.8,debit
authorized,1,SALES-POS,842.78,F,24,WA,2018-08-02T15:49:44.000+0000,4.71,debit
authorized,1,SALES-POS,1663.59,M,26,WA,2018-08-02T15:56:18.000+0000,48.8,debit
posted,,PAY/SALARY,1634.77,F,43,,2018-08-02T16:00:00.000+0000,1630.36,credit
posted,,PAY/SALARY,1361.79,M,37,,2018-08-02T16:00:00.000+0000,916.75,credit
authorized,1,POS,2866.56,M,22,NSW,2018-08-02T16:07:12.000+0000,263.44,debit
authorized,1,POS,2.38,F,18,NSW,2018-08-02T16:23:36.000+0000,36.17,debit
authorized,1,POS,326.94,F,21,VIC,2018-08-02T16:39:59.000+0000,5.63,debit
authorized,0,POS,8144.24,M,23,SA,2018-08-02T16:56:23.000+0000,44.88,debit
posted,,PAYMENT,7963.24,M,23,,2018-08-02T17:00:00.000+0000,181,debit
posted,,PAYMENT,1020.55,M,44,,2018-08-02T17:00:00.000+0000,15,debit
posted,,PAY/SALARY,42790.09,M,22,,2018-08-02T17:00:00.000+0000,3195.01,credit
posted,,PAYMENT,263.09,F,34,,2018-08-02T17:00:00.000+0000,37,debit
posted,,PAY/SALARY,1067.25,F,35,,2018-08-02T17:00:00.000+0000,725.32,credit
authorized,1,POS,661.06,M,42,NSW,2018-08-02T17:07:29.000+0000,28.16,debit
authorized,1,SALES-POS,200.94,M,37,NSW,2018-08-02T17:17:06.000+0000,4.99,debit
authorized,1,POS,636.59,M,42,NSW,2018-08-02T17:36:20.000+0000,24.47,debit
authorized,1,SALES-POS,2658.88,M,20,VIC,2018-08-02T17:45:57.000+0000,7.24,debit
authorized,1,SALES-POS,27884.42,M,21,VIC,2018-08-02T17:55:34.000+0000,14.47,debit
posted,,PAYMENT,7922.24,M,23,,2018-08-02T18:00:00.000+0000,41,debit
posted,,PAYMENT,230.86,M,38,,2018-08-02T18:00:00.000+0000,49,debit
posted,,PAYMENT,186174.3,F,40,,2018-08-02T18:00:00.000+0000,21,debit
posted,,PAYMENT,1540.46,F,21,,2018-08-02T18:00:00.000+0000,135,debit
authorized,1,SALES-POS,13583.79,F,46,NSW,2018-08-02T18:11:59.000+0000,97.95,debit
authorized,0,POS,11424.58,M,24,QLD,2018-08-02T18:56:26.000+0000,13.93,debit
posted,,PAYMENT,260464.83,M,46,,2018-08-02T19:00:00.000+0000,50,debit
authorized,1,SALES-POS,605.9,M,42,NSW,2018-08-02T19:07:18.000+0000,30.69,debit
authorized,1,POS,1608.28,F,43,VIC,2018-08-02T19:15:59.000+0000,26.49,debit
authorized,1,POS,50192.66,M,38,NT,2018-08-02T19:24:41.000+0000,190.5,debit
authorized,1,SALES-POS,30102.06,M,28,NSW,2018-08-02T19:33:23.000+0000,28.71,debit
authorized,1,SALES-POS,105.89,F,30,WA,2018-08-02T19:42:05.000+0000,22.87,debit
authorized,0,POS,5748.22,M,38,NSW,2018-08-02T19:50:46.000+0000,40.31,debit
authorized,1,SALES-POS,996.97,F,35,NSW,2018-08-02T19:59:28.000+0000,70.28,debit
posted,,PAYMENT,979.55,M,44,,2018-08-02T20:00:00.000+0000,41,debit
posted,,PAYMENT,290.88,M,22,,2018-08-02T20:00:00.000+0000,195,debit
authorized,1,SALES-POS,50590.99,M,19,VIC,2018-08-02T20:15:39.000+0000,46.86,debit
authorized,1,POS,485.88,M,22,NSW,2018-08-02T20:32:19.000+0000,23.25,debit
authorized,1,POS,11366.83,M,24,NSW,2018-08-02T20:48:59.000+0000,57.75,debit
posted,,PAYMENT,42704.09,M,22,,2018-08-02T21:00:00.000+0000,86,debit
posted,,PHONE BANK,6866.65,M,28,,2018-08-02T21:00:00.000+0000,58,debit
authorized,0,POS,147.58,M,35,WA,2018-08-02T21:14:43.000+0000,42.94,debit
authorized,1,SALES-POS,424.01,F,53,QLD,2018-08-02T21:36:42.000+0000,39.95,debit
authorized,1,SALES-POS,119.37,M,35,QLD,2018-08-02T21:47:41.000+0000,28.21,debit
authorized,1,SALES-POS,6708.49,M,26,VIC,2018-08-02T21:58:40.000+0000,14.36,debit
posted,,PAYMENT,2795.85,F,25,,2018-08-02T22:00:00.000+0000,32,debit
posted,,PAYMENT,5986.68,M,35,,2018-08-02T22:00:00.000+0000,36,debit
posted,,INTER BANK,1441.27,F,41,,2018-08-02T22:00:00.000+0000,109,debit
posted,,PAYMENT,1038.46,F,19,,2018-08-02T22:00:00.000+0000,108,debit
posted,,PAYMENT,45.89,F,26,,2018-08-02T22:00:00.000+0000,33,debit
authorized,1,SALES-POS,6879.81,M,39,VIC,2018-08-02T22:17:15.000+0000,74.96,debit
authorized,1,SALES-POS,30056.51,M,28,NSW,2018-08-02T22:36:51.000+0000,45.55,debit
authorized,1,POS,1697.39,F,40,VIC,2018-08-02T22:56:28.000+0000,60.61,debit
posted,,PAYMENT,4376.26,F,39,,2018-08-02T23:00:00.000+0000,52,debit
posted,,INTER BANK,58052.04,M,33,,2018-08-02T23:00:00.000+0000,59,debit
authorized,1,POS,50459.08,M,19,NSW,2018-08-02T23:12:14.000+0000,131.91,debit
authorized,1,POS,6619.25,M,20,SA,2018-08-02T23:27:09.000+0000,11.57,debit
authorized,1,SALES-POS,1768.68,M,30,QLD,2018-08-02T23:42:05.000+0000,20.63,debit
authorized,1,SALES-POS,35205.33,M,42,VIC,2018-08-02T23:57:00.000+0000,32.8,debit
authorized,1,POS,1564.62,F,35,VIC,2018-08-03T00:25:48.000+0000,15.7,debit
authorized,1,SALES-POS,71.55,F,21,NT,2018-08-03T00:58:03.000+0000,24.7,debit
authorized,0,POS,185.33,M,37,QLD,2018-08-03T01:20:26.000+0000,15.61,debit
authorized,1,POS,1009.91,F,19,VIC,2018-08-03T02:04:59.000+0000,28.55,debit
authorized,1,POS,6.48,M,27,VIC,2018-08-03T02:32:46.000+0000,21.56,debit
posted,,PAYMENT,171.86,M,38,,2018-08-03T03:00:00.000+0000,59,debit
posted,,PAYMENT,11323.83,M,24,,2018-08-03T03:00:00.000+0000,43,debit
